Rank,IsMvp,IsMvp_Int,LgYear,Pos,Pos_Int,Lg,Year,Name,Tm,Vote Pts,1st Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO
8,No,0,NL00,Batter,1,NL,2000,Andruw Jones,ATL,95.0,0.0,21%,8.2,161.0,656.0,122.0,199.0,36.0,104.0,21.0,59.0,0.303,0.366,0.541,0.907,,,,,,,,,,,,
9,No,0,NL00,Batter,1,NL,2000,Gary Sheffield,LAD,71.0,0.0,16%,6.1,141.0,501.0,105.0,163.0,43.0,109.0,4.0,101.0,0.325,0.438,0.643,1.081,,,,,,,,,,,,
10,No,0,NL00,Batter,1,NL,2000,Sammy Sosa,CHC,71.0,0.0,16%,5.7,156.0,604.0,106.0,193.0,50.0,138.0,7.0,91.0,0.32,0.406,0.634,1.04,,,,,,,,,,,,
11,No,0,NL00,Batter,1,NL,2000,Chipper Jones,ATL,23.0,0.0,5%,5.7,156.0,579.0,118.0,180.0,36.0,111.0,14.0,95.0,0.311,0.404,0.566,0.97,,,,,,,,,,,,
12,No,0,NL00,Pitcher,0,NL,2000,Greg Maddux,ATL,12.0,0.0,3%,6.6,33.0,80.0,2.0,15.0,0.0,5.0,0.0,2.0,0.188,0.217,0.238,0.454,19.0,9.0,3.0,1.071,35.0,35.0,0.0,249.1,225.0,19.0,42.0,190.0
13,No,0,NL00,Pitcher,0,NL,2000,Robb Nen,SFG,12.0,0.0,3%,2.5,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4.0,3.0,1.5,0.848,68.0,0.0,41.0,66.0,37.0,4.0,19.0,92.0
14,No,0,NL00,Pitcher,0,NL,2000,Tom Glavine,ATL,8.0,0.0,2%,5.0,35.0,68.0,5.0,10.0,0.0,2.0,0.0,7.0,0.147,0.227,0.162,0.388,21.0,9.0,3.4,1.191,35.0,35.0,0.0,241.0,222.0,24.0,65.0,152.0
15,No,0,NL00,Batter,1,NL,2000,Edgardo Alfonzo,NYM,6.0,0.0,1%,6.4,150.0,544.0,109.0,176.0,25.0,94.0,3.0,95.0,0.324,0.425,0.542,0.967,,,,,,,,,,,,
16,No,0,NL00,Batter,1,NL,2000,Ellis Burks,SFG,6.0,0.0,1%,5.0,122.0,393.0,74.0,135.0,24.0,96.0,5.0,56.0,0.344,0.419,0.606,1.025,,,,,,,,,,,,
17,No,0,NL00,Pitcher,0,NL,2000,Randy Johnson,ARI,5.0,0.0,1%,8.1,34.0,83.0,4.0,13.0,0.0,8.0,0.0,3.0,0.157,0.195,0.181,0.376,19.0,7.0,2.64,1.118,35.0,35.0,0.0,248.2,202.0,23.0,76.0,347.0
18,No,0,NL00,Pitcher,0,NL,2000,Darryl Kile,STL,4.0,0.0,1%,3.8,33.0,73.0,5.0,9.0,0.0,3.0,0.0,10.0,0.123,0.229,0.137,0.366,20.0,9.0,3.91,1.175,34.0,34.0,0.0,232.1,215.0,33.0,58.0,192.0
19,No,0,NL00,Batter,1,NL,2000,Brian Giles,PIT,3.0,0.0,1%,6.4,156.0,559.0,111.0,176.0,35.0,123.0,6.0,114.0,0.315,0.432,0.594,1.026,,,,,,,,,,,,
20,No,0,NL00,Batter,1,NL,2000,Moisés Alou,HOU,2.0,0.0,0%,2.6,126.0,454.0,82.0,161.0,30.0,114.0,3.0,52.0,0.355,0.416,0.623,1.039,,,,,,,,,,,,
21,No,0,NL00,Batter,1,NL,2000,Richard Hidalgo,HOU,2.0,0.0,0%,6.3,153.0,558.0,118.0,175.0,44.0,122.0,13.0,56.0,0.314,0.391,0.636,1.028,,,,,,,,,,,,
22,No,0,NL00,Pitcher,0,NL,2000,Antonio Alfonseca,FLA,1.0,0.0,0%,0.5,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,5.0,6.0,4.24,1.514,68.0,0.0,45.0,70.0,82.0,7.0,24.0,47.0
1,Yes,1,AL01,Batter,1,AL,2001,Ichiro Suzuki,SEA,289.0,11.0,74%,7.7,157.0,692.0,127.0,242.0,8.0,69.0,56.0,30.0,0.35,0.381,0.457,0.838,,,,,,,,,,,,
2,No,0,AL01,Batter,1,AL,2001,Jason Giambi,OAK,281.0,8.0,72%,9.2,154.0,520.0,109.0,178.0,38.0,120.0,2.0,129.0,0.342,0.477,0.66,1.137,,,,,,,,,,,,
3,No,0,AL01,Batter,1,AL,2001,Bret Boone,SEA,259.0,7.0,66%,8.8,158.0,623.0,118.0,206.0,37.0,141.0,5.0,40.0,0.331,0.372,0.578,0.95,,,,,,,,,,,,
4,No,0,AL01,Batter,1,AL,2001,Roberto Alomar,CLE,165.0,2.0,42%,7.3,157.0,575.0,113.0,193.0,20.0,100.0,30.0,80.0,0.336,0.415,0.541,0.956,,,,,,,,,,,,
5,No,0,AL01,Batter,1,AL,2001,Juan González,CLE,156.0,0.0,40%,4.4,140.0,532.0,97.0,173.0,35.0,140.0,1.0,41.0,0.325,0.37,0.59,0.96,,,,,,,,,,,,
6,No,0,AL01,Batter,1,AL,2001,Alex Rodriguez,TEX,141.0,0.0,36%,8.3,162.0,632.0,133.0,201.0,52.0,135.0,18.0,75.0,0.318,0.399,0.622,1.021,,,,,,,,,,,,
7,No,0,AL01,Batter,1,AL,2001,Jim Thome,CLE,107.0,0.0,27%,5.6,156.0,526.0,101.0,153.0,49.0,124.0,0.0,111.0,0.291,0.416,0.624,1.04,,,,,,,,,,,,
8,No,0,AL01,Pitcher,0,AL,2001,Roger Clemens,NYY,67.0,0.0,17%,5.6,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,3.51,1.257,33.0,33.0,0.0,220.1,205.0,19.0,72.0,213.0
9,No,0,AL01,Batter,1,AL,2001,Manny Ramirez,BOS,50.0,0.0,13%,5.2,142.0,529.0,93.0,162.0,41.0,125.0,0.0,81.0,0.306,0.405,0.609,1.014,,,,,,,,,,,,
10,No,0,AL01,Batter,1,AL,2001,Derek Jeter,NYY,42.0,0.0,11%,5.2,150.0,614.0,110.0,191.0,21.0,74.0,27.0,56.0,0.311,0.377,0.48,0.858,,,,,,,,,,,,
11,No,0,AL01,Pitcher,0,AL,2001,Mariano Rivera,NYY,27.0,0.0,7%,3.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4.0,6.0,2.34,0.905,71.0,0.0,50.0,80.2,61.0,5.0,12.0,83.0
12,No,0,AL01,Batter,1,AL,2001,Tino Martinez,NYY,18.0,0.0,5%,2.3,154.0,589.0,89.0,165.0,34.0,113.0,1.0,42.0,0.28,0.329,0.501,0.83,,,,,,,,,,,,
13,No,0,AL01,Pitcher,0,AL,2001,Mark Mulder,OAK,12.0,0.0,3%,5.6,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,21.0,8.0,3.45,1.156,34.0,34.0,0.0,229.1,214.0,16.0,51.0,153.0
14,No,0,AL01,Batter,1,AL,2001,Doug Mientkiewicz,MIN,5.0,0.0,1%,2.8,151.0,543.0,77.0,166.0,15.0,74.0,2.0,67.0,0.306,0.387,0.464,0.851,,,,,,,,,,,,
