Rank,IsMvp,IsMvp_Int,LgYear,Pos,Pos_Int,Lg,Year,Name,Tm,Vote Pts,1st Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO
11,No,0,NL83,Batter,1,NL,1983,George Hendrick,STL,33.0,0.0,10%,3.2,144.0,529.0,73.0,168.0,18.0,97.0,3.0,51.0,0.318,0.373,0.493,0.866,,,,,,,,,,,,
12,No,0,NL83,Batter,1,NL,1983,Tony Peña,PIT,25.0,0.0,7%,4.1,151.0,542.0,51.0,163.0,15.0,70.0,6.0,31.0,0.301,0.338,0.435,0.773,,,,,,,,,,,,
13,No,0,NL83,Pitcher,0,NL,1983,John Denny,PHI,24.0,0.0,7%,7.5,36.0,77.0,7.0,13.0,0.0,2.0,2.0,2.0,0.169,0.19,0.182,0.372,19.0,6.0,2.37,1.162,36.0,36.0,0.0,242.2,229.0,9.0,53.0,139.0
14,No,0,NL83,Batter,1,NL,1983,Darrell Evans,SFG,16.0,0.0,5%,4.0,142.0,523.0,94.0,145.0,30.0,82.0,6.0,84.0,0.277,0.378,0.516,0.894,,,,,,,,,,,,
15,No,0,NL83,Pitcher,0,NL,1983,Mario Soto,CIN,16.0,0.0,5%,6.7,35.0,88.0,6.0,11.0,0.0,2.0,0.0,1.0,0.125,0.135,0.159,0.294,17.0,13.0,2.7,1.104,34.0,34.0,0.0,273.2,207.0,28.0,95.0,242.0
16,No,0,NL83,Batter,1,NL,1983,Rafael Ramírez,ATL,15.0,0.0,4%,2.1,152.0,622.0,82.0,185.0,7.0,58.0,16.0,36.0,0.297,0.337,0.368,0.705,,,,,,,,,,,,
17,No,0,NL83,Pitcher,0,NL,1983,Jesse Orosco,NYM,14.0,0.0,4%,4.0,62.0,12.0,0.0,4.0,0.0,2.0,0.0,1.0,0.333,0.357,0.333,0.69,13.0,7.0,1.47,1.036,62.0,0.0,17.0,110.0,76.0,3.0,38.0,84.0
18,No,0,NL83,Pitcher,0,NL,1983,Lee Smith,CHC,8.0,0.0,2%,4.7,66.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.111,0.2,0.111,0.311,4.0,10.0,1.65,1.074,66.0,0.0,29.0,103.1,70.0,5.0,41.0,91.0
19,No,0,NL83,Batter,1,NL,1983,Al Oliver,MON,3.0,0.0,1%,1.5,157.0,614.0,70.0,184.0,8.0,84.0,1.0,44.0,0.3,0.347,0.41,0.757,,,,,,,,,,,,
20,No,0,NL83,Batter,1,NL,1983,Jeffrey Leonard,SFG,2.0,0.0,1%,3.5,139.0,516.0,74.0,144.0,21.0,87.0,26.0,35.0,0.279,0.323,0.461,0.784,,,,,,,,,,,,
21,No,0,NL83,Batter,1,NL,1983,Jody Davis,CHC,1.0,0.0,0%,2.6,151.0,510.0,56.0,138.0,24.0,84.0,0.0,33.0,0.271,0.315,0.48,0.795,,,,,,,,,,,,
22,No,0,NL83,Batter,1,NL,1983,Keith Hernandez,TOT,1.0,0.0,0%,5.6,150.0,538.0,77.0,160.0,12.0,63.0,9.0,88.0,0.297,0.396,0.433,0.829,,,,,,,,,,,,
23,No,0,NL83,Batter,1,NL,1983,Bob Horner,ATL,1.0,0.0,0%,2.9,104.0,386.0,75.0,117.0,20.0,68.0,4.0,50.0,0.303,0.383,0.528,0.911,,,,,,,,,,,,
24,No,0,NL83,Batter,1,NL,1983,Lonnie Smith,STL,1.0,0.0,0%,3.5,130.0,492.0,83.0,158.0,8.0,45.0,43.0,41.0,0.321,0.381,0.453,0.834,,,,,,,,,,,,
25,No,0,NL83,Batter,1,NL,1983,Ozzie Smith,STL,1.0,0.0,0%,3.8,159.0,552.0,69.0,134.0,3.0,50.0,34.0,64.0,0.243,0.321,0.335,0.657,,,,,,,,,,,,
